,query_id,doc_id,relevance
0,1,12,3
1,1,13,4
2,1,14,4
3,1,15,4
4,1,29,2
5,1,30,3
6,1,31,2
7,1,37,3
8,1,51,3
9,1,52,4
10,1,56,3
11,1,57,2
12,1,66,3
13,1,95,3
14,1,102,3
15,1,142,4
16,1,184,2
17,1,185,3
18,1,195,4
19,1,378,2
20,1,462,4
21,1,497,3
22,1,858,3
23,1,859,2
24,1,875,2
25,1,876,3
26,1,879,3
27,1,880,3
28,2,12,1
29,2,14,4
30,2,15,2
31,2,51,3
32,2,52,4
33,2,102,3
34,2,184,2
35,2,202,3
36,2,285,3
37,2,380,4
38,2,390,3
39,2,391,3
40,2,442,4
41,2,497,3
42,2,643,3
43,2,658,3
44,2,746,1
45,2,856,3
46,2,857,3
47,2,858,2
48,2,859,2
49,2,864,3
50,2,877,3
51,2,948,2
52,3,5,3
53,3,6,3
54,3,90,3
55,3,91,3
56,3,119,3
57,3,144,3
58,3,181,3
59,3,399,3
60,4,166,3
61,4,236,3
62,5,401,3
63,5,552,1
64,5,1296,1
65,5,1297,3
66,6,99,2
67,6,115,3
68,6,257,3
69,6,258,3
70,7,19,4
71,7,20,2
72,7,56,3
73,7,57,3
74,7,58,3
75,8,20,3
76,8,48,1
77,8,58,3
78,8,122,1
79,8,196,3
80,8,197,3
81,8,354,1
82,8,360,1
83,8,999,3
84,8,1005,1
85,8,1112,3
86,9,21,2
87,9,22,2
88,9,550,2
89,10,259,2
90,10,302,3
91,10,405,2
92,10,436,3
93,10,437,3
94,10,438,3
95,10,998,3
96,10,1011,3
97,11,20,4
98,11,27,3
99,11,28,3
100,11,160,4
101,11,262,3
102,11,263,3
103,11,654,4
104,12,86,2
105,12,194,2
106,12,649,4
107,12,650,2
108,12,652,2
109,13,64,2
110,13,65,4
111,13,265,2
112,13,311,4
113,14,64,1
114,14,65,4
115,15,462,3
116,15,463,1
117,16,106,3
118,16,196,3
119,16,266,2
120,17,106,2
121,17,196,3
122,18,196,2
123,18,197,2
124,18,198,2
125,19,32,2
126,19,67,2
127,19,164,2
128,19,639,3
129,19,715,3
130,19,716,3
131,19,717,3
132,19,719,4
133,19,1379,4
134,20,87,3
135,20,88,3
136,20,104,3
137,20,267,3
138,20,268,3
139,20,269,3
140,20,270,3
141,20,407,3
142,20,408,3
143,21,16,2
144,21,271,1
145,21,413,2
146,21,414,3
147,22,68,1
148,23,199,4
149,23,200,2
150,23,201,2
151,23,544,2
152,23,593,3
153,23,594,4
154,23,597,2
155,23,601,2
156,23,634,2
157,23,687,2
158,23,698,2
159,23,700,2
160,23,704,2
161,23,705,2
162,23,749,3
163,23,899,3
164,23,900,1
165,23,901,2
166,23,902,1
167,23,903,3
168,23,917,3
169,23,919,3
170,23,1109,2
171,23,1112,2
172,23,1141,2
173,23,1197,2
174,23,1256,2
175,23,1259,2
176,23,1272,2
177,23,1289,2
178,23,1290,3
179,23,1333,4
180,24,46,2
181,24,47,2
182,24,92,3
183,25,212,3
184,25,213,2
185,25,214,3
186,25,215,3
187,25,216,3
188,25,276,3
189,25,277,3
190,25,426,3
191,25,427,3
192,26,145,1
193,26,376,2
194,26,406,2
195,26,565,2
196,26,611,1
197,26,1076,2
198,27,224,2
199,27,278,3
200,27,428,3
201,28,224,3
202,28,279,3
203,29,225,3
204,29,250,2
205,29,464,4
206,29,465,4
207,29,466,4
208,29,514,2
209,29,609,2
210,29,612,2
211,29,793,3
212,30,225,2
213,30,464,2
214,30,466,3
215,30,514,2
216,30,609,3
217,30,612,3
218,30,793,4
219,31,776,4
220,32,247,4
221,32,249,3
222,32,250,4
223,32,465,2
224,32,777,3
225,32,778,3
226,33,141,4
227,33,252,3
228,33,431,3
229,34,252,1
230,34,431,3
231,34,672,3
232,34,714,3
233,34,799,3
234,34,800,3
235,35,132,3
236,35,166,1
237,35,167,1
238,36,168,3
239,36,169,2
240,37,97,3
241,37,121,3
242,37,172,3
243,37,173,2
244,37,187,3
245,37,188,2
246,37,242,3
247,37,409,3
248,37,487,3
249,38,24,2
250,38,272,3
251,38,283,2
252,38,552,2
253,38,553,2
254,38,554,2
255,38,555,2
256,38,556,2
257,38,557,4
258,38,558,4
259,39,24,2
260,39,79,3
261,39,207,3
262,39,272,1
263,39,283,2
264,39,418,3
265,39,505,3
266,39,552,2
267,39,554,2
268,39,555,1
269,39,556,2
270,39,557,4
271,39,1257,3
272,40,24,2
273,40,272,3
274,40,283,2
275,40,552,2
276,40,553,2
277,40,554,2
278,40,555,2
279,40,556,2
280,40,557,4
281,40,558,4
282,40,976,3
283,41,288,1
284,41,289,1
285,41,433,2
286,42,467,3
287,42,468,2
288,42,469,3
289,42,470,3
290,42,775,4
291,43,39,3
292,43,467,1
293,43,468,1
294,43,469,1
295,43,503,3
296,43,775,3
297,44,302,3
298,44,436,3
299,44,437,4
300,45,305,2
301,45,308,3
302,45,338,3
303,45,481,3
304,45,570,2
305,45,572,3
306,45,629,3
307,45,663,3
308,45,798,3
309,45,1185,3
310,45,1226,4
311,45,1355,4
312,46,84,4
313,46,123,4
314,46,305,2
315,46,338,3
316,46,344,3
317,46,481,3
318,46,570,3
319,46,572,4
320,46,623,3
321,46,629,4
322,46,663,4
323,46,798,3
324,46,1185,4
325,46,1226,4
326,46,1355,4
327,47,304,2
328,47,305,3
329,47,306,2
330,47,307,2
331,47,308,4
332,47,309,2
333,47,310,2
334,47,570,2
335,47,572,2
336,47,629,3
337,47,663,3
338,47,798,3
339,47,1185,3
340,47,1355,3
341,48,187,4
342,48,265,4
343,48,311,3
344,48,314,4
345,48,315,4
346,48,316,3
347,48,439,2
348,48,440,3
349,48,794,4
350,48,797,3
351,48,798,3
352,49,320,3
353,49,478,4
354,50,21,4
355,50,22,4
356,50,94,4
357,50,306,4
358,50,326,2
359,50,629,2
360,51,23,2
361,51,63,4
362,51,94,1
363,51,105,2
364,51,192,3
365,51,261,4
366,51,326,4
367,51,381,2
368,51,494,2
369,51,629,2
370,52,21,2
371,52,22,2
372,52,306,2
373,52,326,4
374,53,33,3
375,53,208,4
376,53,296,3
377,53,297,4
378,53,298,4
379,53,299,4
380,53,446,4
381,53,447,4
382,53,448,4
383,53,449,4
384,54,24,3
385,54,84,2
386,54,101,3
387,54,294,3
388,54,364,3
389,54,365,3
390,54,560,3
391,54,628,4
392,54,661,4
393,55,16,2
394,55,255,3
395,55,271,3
396,55,375,2
397,55,376,4
398,55,377,4
399,55,378,3
400,55,460,2
401,55,502,3
402,55,562,2
403,56,14,4
404,56,379,4
405,56,380,2
406,56,643,4
407,56,686,4
408,56,705,4
409,56,749,3
410,56,779,4
411,56,780,4
412,56,1339,3
413,57,12,4
414,57,14,4
415,57,15,4
416,57,379,4
417,57,380,2
418,57,593,3
419,57,704,4
420,57,705,4
421,57,746,3
422,57,779,4
423,57,780,4
424,57,857,4
425,57,859,4
426,57,914,3
427,58,23,4
428,58,381,4
429,58,382,4
430,58,784,4
431,58,785,3
432,58,786,3
433,58,787,3
434,58,788,2
435,58,789,4
436,59,785,3
437,59,786,3
438,59,787,3
439,59,788,2
440,60,320,4
441,60,475,2
442,60,476,3
443,60,478,4
444,60,527,3
445,61,564,3
446,61,565,2
447,61,566,2
448,61,661,4
449,61,1159,3
450,62,566,1
451,62,567,2
452,62,1078,3
453,62,1081,3
454,62,1084,2
455,63,564,3
456,63,566,3
457,63,567,1
458,64,390,1
459,64,391,2
460,65,2,2
461,65,3,2
462,65,4,3
463,65,128,2
464,65,180,3
465,65,323,3
466,65,324,3
467,65,384,3
468,65,393,3
469,65,394,3
470,65,418,4
471,65,629,2
472,65,659,3
473,65,664,2
474,65,1302,3
475,66,180,3
476,66,629,2
477,66,659,3
478,66,660,3
479,66,664,2
480,67,2,1
481,67,3,1
482,67,4,3
483,67,128,1
484,67,180,1
485,67,323,3
486,67,324,3
487,67,389,3
488,67,393,3
489,67,394,3
490,67,629,2
491,67,659,3
492,67,664,2
493,67,1302,3
494,68,62,3
495,68,101,3
496,68,460,3
497,68,661,3
498,68,662,2
499,69,62,3
500,69,336,4
501,69,458,2
502,69,570,2
503,69,977,3
504,70,24,4
505,70,62,2
506,70,101,3
507,70,283,3
508,70,307,3
509,70,333,1
510,70,565,3
511,70,568,2
512,70,570,2
513,70,977,3
514,71,101,3
515,71,569,1
516,71,571,1
517,71,572,1
518,71,655,3
519,71,798,4
520,71,1213,3
521,71,1355,2
522,72,21,2
523,72,62,4
524,72,94,3
525,72,128,4
526,72,304,3
527,72,305,4
528,72,309,4
529,72,323,4
530,72,324,2
531,72,388,4
532,72,494,3
533,72,570,3
534,72,571,4
535,72,630,2
536,72,655,4
537,72,663,4
538,72,664,3
539,73,25,4
540,73,68,3
541,73,160,3
542,73,317,4
543,73,332,2
544,73,401,2
545,73,421,3
546,73,571,3
547,73,572,2
548,73,573,3
549,73,574,3
550,73,577,4
551,73,578,2
552,73,625,2
553,73,655,4
554,73,1198,4
555,73,1213,3
556,73,1252,3
557,73,1304,3
558,73,1355,4
559,74,317,4
560,74,574,4
561,74,575,3
562,74,576,2
563,74,578,4
564,74,656,2
565,75,324,3
566,75,378,3
567,75,666,3
568,75,667,2
569,75,670,3
570,76,324,3
571,76,329,3
572,76,378,2
573,76,666,3
574,76,667,2
575,76,670,3
576,76,1391,3
577,77,329,4
578,77,666,3
579,77,667,3
580,77,668,2
581,77,670,3
582,77,1391,4
583,78,588,2
584,78,589,3
585,78,590,3
586,79,597,3
587,79,598,3
588,79,688,4
589,79,708,4
590,79,713,4
591,80,594,1
592,80,596,3
593,80,597,1
594,80,598,3
595,81,672,1
596,81,799,4
597,82,205,3
598,82,676,2
599,82,677,2
600,82,678,3
601,82,679,3
602,83,680,2
603,83,681,2
604,83,682,2
605,83,683,2
606,84,142,3
607,84,294,3
608,84,354,4
609,84,406,2
610,84,522,4
611,84,606,2
612,84,608,3
613,84,873,4
614,84,962,3
615,84,1192,3
616,84,1213,3
617,85,406,2
618,85,606,3
619,85,608,1
620,85,710,3
621,86,594,3
622,86,790,3
623,87,50,4
624,87,236,4
625,87,406,4
626,87,562,3
627,87,606,2
628,87,609,4
629,87,611,2
630,87,612,4
631,88,613,2
632,88,614,2
633,88,615,2
634,88,616,3
635,88,617,3
636,88,618,4
637,89,420,4
638,89,793,2
639,89,794,2
640,89,795,4
641,89,796,4
642,89,797,3
643,90,256,2
644,90,291,3
645,90,311,3
646,90,335,3
647,90,793,3
648,90,794,2
649,90,796,3
650,90,797,2
651,90,798,2
652,90,800,4
653,90,1187,4
654,90,1364,3
655,90,1367,4
656,91,252,2
657,91,672,4
658,91,793,4
659,91,794,4
660,91,797,3
661,91,799,3
662,91,800,3
663,91,801,2
664,91,1154,3
665,92,253,3
666,92,802,2
667,92,803,2
668,92,804,4
669,92,805,4
670,92,806,4
671,92,807,4
672,92,808,3
673,92,809,3
674,92,810,4
675,92,811,3
676,92,1243,4
677,92,1247,3
678,93,691,3
679,94,24,1
680,94,101,4
681,94,283,3
682,94,294,3
683,94,354,4
684,94,559,3
685,94,689,4
686,94,690,4
687,94,1104,4
688,94,1161,4
689,94,1393,3
690,94,1395,4
691,95,283,1
692,95,662,4
693,96,698,4
694,96,699,4
695,96,700,4
696,96,701,4
697,96,702,4
698,96,703,3
699,96,704,3
700,96,705,3
701,96,706,4
702,96,779,3
703,96,792,4
704,96,1289,3
705,96,1339,4
706,97,681,3
707,97,698,4
708,97,699,3
709,97,700,3
710,97,701,3
711,97,702,3
712,97,703,3
713,97,779,3
714,97,1289,4
715,97,1339,4
716,98,708,4
717,98,709,4
718,98,711,4
719,98,712,4
720,98,713,2
721,99,717,2
722,99,719,2
723,99,1001,3
724,99,1379,3
725,100,820,3
726,100,821,2
727,100,822,2
728,100,823,3
729,100,824,2
730,100,825,3
731,100,1051,3
732,100,1121,3
733,100,1122,2
734,101,817,2
735,101,818,2
736,101,819,2
737,101,820,3
738,101,824,2
739,101,825,3
740,102,728,1
741,102,910,3
742,102,911,4
743,102,913,2
744,103,826,3
745,103,828,3
746,104,833,3
747,104,834,3
748,104,835,3
749,104,836,3
750,104,837,3
751,105,844,4
752,105,845,4
753,105,846,4
754,105,847,4
755,105,848,3
756,106,844,4
757,106,845,4
758,106,846,3
759,106,847,2
760,106,849,3
761,107,75,4
762,107,720,4
763,107,725,2
764,107,728,2
765,107,729,3
766,107,909,4
767,107,911,3
768,108,75,3
769,108,720,4
770,108,723,4
771,108,724,2
772,108,726,2
773,108,727,2
774,108,909,3
775,109,12,3
776,109,606,3
777,109,860,1
778,109,861,1
779,109,980,3
780,110,31,3
781,110,862,1
782,110,863,1
783,110,1174,4
784,111,15,2
785,111,391,2
786,111,392,3
787,111,627,3
788,111,658,3
789,111,864,2
790,111,914,3
791,112,730,4
792,112,731,3
793,113,265,3
794,113,746,3
795,113,748,3
796,113,749,3
797,114,916,2
798,114,919,1
799,114,920,3
800,114,921,3
801,115,51,2
802,115,185,2
803,115,874,4
804,115,878,3
805,116,360,3
806,116,492,4
807,116,605,3
808,116,922,1
809,116,927,3
810,117,360,2
811,117,605,3
812,118,923,2
813,118,924,3
814,118,925,3
815,119,926,4
816,120,829,2
817,120,885,3
818,120,886,3
819,120,887,2
820,120,888,3
821,120,889,4
822,120,890,2
823,120,891,3
824,120,1146,2
825,121,885,1
826,121,886,1
827,121,887,1
828,121,888,1
829,121,890,1
830,121,891,1
831,121,1146,2
832,122,931,4
833,122,932,2
834,122,934,4
835,122,935,4
836,122,936,2
837,122,937,2
838,122,938,2
839,122,957,3
840,122,1131,3
841,123,966,2
842,123,967,3
843,124,964,3
844,124,965,3
845,124,967,2
846,124,968,2
847,125,173,3
848,125,174,2
849,125,176,3
850,125,177,4
851,125,187,3
852,125,409,3
853,125,946,3
854,125,969,2
855,125,970,2
856,125,971,2
857,125,972,2
858,125,973,3
859,125,974,4
860,125,992,3
861,125,994,3
862,125,995,3
863,125,997,2
864,126,187,3
865,126,969,3
866,126,970,3
867,126,971,3
868,126,972,3
869,126,973,3
870,126,974,2
871,126,1326,2
872,127,101,2
873,127,164,2
874,127,981,3
875,127,982,4
876,127,983,4
877,128,985,3
878,128,990,3
879,129,984,3
880,129,985,2
881,129,986,4
882,129,987,2
883,129,988,3
884,129,989,3
885,129,990,3
886,130,12,3
887,130,766,2
888,130,858,3
889,130,859,3
890,130,1008,3
891,131,1012,4
892,131,1013,3
893,131,1014,2
894,131,1016,3
895,131,1017,3
896,131,1018,3
897,131,1019,3
898,131,1020,2
899,132,951,3
900,132,952,4
901,132,1012,4
902,132,1013,3
903,132,1014,1
904,132,1015,3
905,132,1016,3
906,132,1017,3
907,132,1018,4
908,132,1019,4
909,132,1020,4
910,132,1023,3
911,132,1024,4
912,132,1025,3
913,132,1026,3
914,133,1012,4
915,133,1016,4
916,133,1018,2
917,133,1019,2
918,133,1020,1
919,133,1022,4
920,133,1024,3
921,134,1027,2
922,134,1028,3
923,135,950,4
924,135,1016,4
925,135,1017,4
926,135,1018,1
927,135,1023,4
928,135,1024,4
929,135,1025,4
930,135,1026,4
931,136,1021,1
932,136,1022,4
933,136,1034,4
934,137,951,3
935,137,1021,3
936,137,1029,2
937,137,1034,3
938,138,846,1
939,138,1036,1
940,139,1031,2
941,139,1032,2
942,139,1035,2
943,139,1037,4
944,140,1038,1
945,140,1039,1
946,140,1041,2
947,140,1042,2
948,140,1043,4
949,140,1044,4
950,141,1038,1
951,141,1039,3
952,141,1041,1
953,141,1042,3
954,141,1043,2
955,141,1044,2
956,142,1042,1
957,143,1043,1
958,143,1044,1
959,144,763,3
960,144,838,3
961,144,839,3
962,144,840,2
963,144,841,3
964,144,1045,2
965,145,743,3
966,145,763,2
967,145,838,2
968,145,839,2
969,145,841,2
970,145,852,4
971,145,1045,3
972,146,840,1
973,146,1045,3
974,147,822,4
975,147,843,3
976,147,889,3
977,147,926,4
978,147,1046,3
979,147,1047,4
980,147,1048,3
981,147,1049,4
982,147,1050,3
983,147,1051,4
984,148,843,3
985,148,889,2
986,148,1046,3
987,148,1048,2
988,148,1049,3
989,148,1050,2
990,149,930,3
991,149,931,3
992,149,934,3
993,149,936,3
994,149,937,3
995,149,938,3
996,149,1052,4
997,149,1057,3
998,149,1058,3
999,149,1059,3
1000,149,1131,3
1001,150,1074,3
1002,150,1075,3
1003,151,687,2
1004,151,1074,3
1005,151,1075,4
1006,151,1076,2
1007,151,1077,4
1008,152,569,3
1009,152,572,3
1010,152,655,3
1011,152,687,4
1012,152,1076,1
1013,152,1077,3
1014,153,1078,3
1015,153,1080,4
1016,153,1081,4
1017,153,1082,4
1018,153,1083,3
1019,153,1084,3
1020,153,1085,3
1021,154,1087,2
1022,154,1088,3
1023,155,983,3
1024,155,1099,4
1025,155,1100,2
1026,155,1101,3
1027,155,1103,1
1028,155,1104,3
1029,156,82,3
1030,156,274,2
1031,156,553,2
1032,156,982,4
1033,156,983,1
1034,156,1096,3
1035,156,1097,2
1036,156,1098,3
1037,156,1099,3
1038,156,1100,2
1039,156,1101,3
1040,156,1102,1
1041,156,1103,4
1042,156,1104,1
1043,157,19,3
1044,157,25,2
1045,157,35,3
1046,157,36,3
1047,157,44,3
1048,157,93,3
1049,157,122,4
1050,157,160,3
1051,157,161,3
1052,157,215,3
1053,157,273,2
1054,157,302,3
1055,157,318,3
1056,157,354,3
1057,157,369,3
1058,157,370,3
1059,157,372,2
1060,157,410,2
1061,157,421,3
1062,157,423,3
1063,157,456,2
1064,157,482,3
1065,157,556,2
1066,157,557,3
1067,157,572,3
1068,157,605,3
1069,157,626,2
1070,157,655,3
1071,157,657,3
1072,157,666,4
1073,157,689,3
1074,157,1011,3
1075,157,1105,2
1076,157,1106,2
1077,157,1107,2
1078,157,1151,2
1079,157,1304,3
1080,157,1307,3
1081,157,1355,4
1082,158,273,4
1083,158,302,1
1084,158,552,2
1085,158,556,4
1086,158,998,3
1087,158,1009,3
1088,158,1010,3
1089,158,1011,1
1090,159,231,3
1091,159,234,3
1092,159,1108,3
1093,159,1110,3
1094,159,1111,3
1095,159,1112,3
1096,159,1114,4
1097,159,1115,4
1098,160,1134,3
1099,160,1135,4
1100,160,1136,4
1101,160,1137,3
1102,160,1138,3
1103,161,54,2
1104,161,55,4
1105,161,336,3
1106,161,562,3
1107,161,996,4
1108,161,1386,2
1109,162,54,3
1110,162,111,1
1111,162,155,1
1112,162,458,1
1113,162,459,1
1114,162,460,2
1115,162,461,2
1116,162,562,3
1117,163,20,3
1118,163,56,3
1119,163,57,3
1120,164,311,2
1121,164,316,4
1122,164,335,4
1123,164,415,3
1124,164,416,3
1125,164,798,3
1126,164,1364,3
1127,164,1367,3
1128,165,71,1
1129,165,72,1
1130,166,40,2
1131,166,41,2
1132,166,74,2
1133,166,170,2
1134,166,207,2
1135,166,272,2
1136,166,418,2
1137,166,1264,2
1138,167,82,3
1139,167,274,2
1140,168,217,1
1141,168,774,1
1142,169,118,1
1143,169,157,1
1144,169,774,1
1145,169,775,1
1146,170,139,2
1147,170,238,2
1148,170,239,3
1149,170,672,3
1150,170,904,3
1151,170,906,3
1152,171,141,4
1153,171,252,1
1154,171,431,1
1155,172,320,1
1156,172,321,1
1157,172,322,3
1158,172,476,3
1159,173,367,1
1160,173,451,1
1161,174,36,2
1162,174,58,1
1163,174,411,1
1164,174,423,4
1165,174,482,1
1166,175,351,2
1167,175,964,3
1168,175,965,3
1169,175,966,2
1170,175,967,2
1171,176,582,1
1172,176,583,1
1173,176,584,3
1174,176,585,3
1175,176,586,1
1176,176,978,4
1177,176,982,1
1178,177,588,2
1179,177,589,2
1180,177,590,4
1181,177,592,3
1182,177,772,3
1183,178,588,4
1184,178,589,4
1185,178,590,3
1186,178,591,1
1187,179,680,3
1188,179,681,3
1189,179,682,3
1190,179,683,3
1191,180,616,4
1192,180,617,4
1193,180,619,3
1194,180,620,3
1195,180,621,3
1196,180,622,2
1197,180,1150,4
1198,181,409,2
1199,181,973,2
1200,181,974,2
1201,181,997,3
1202,181,1061,3
1203,182,685,1
1204,182,686,3
1205,183,253,3
1206,183,802,2
1207,183,803,1
1208,183,804,4
1209,183,805,4
1210,183,806,4
1211,183,807,3
1212,183,808,1
1213,183,809,1
1214,183,810,4
1215,183,811,3
1216,183,1243,4
1217,183,1247,4
1218,184,32,3
1219,184,67,3
1220,184,499,3
1221,184,715,3
1222,184,716,3
1223,184,717,4
1224,184,1379,3
1225,185,15,4
1226,185,285,4
1227,185,766,2
1228,185,856,3
1229,185,857,2
1230,185,858,2
1231,185,859,2
1232,185,894,4
1233,185,1008,3
1234,186,161,4
1235,186,225,3
1236,186,421,4
1237,186,923,3
1238,186,924,3
1239,186,1062,3
1240,186,1074,3
1241,186,1075,3
1242,186,1280,3
1243,186,1304,3
1244,186,1305,3
1245,186,1309,3
1246,186,1377,4
1247,186,1378,3
1248,186,1379,4
1249,186,1380,4
1250,187,743,4
1251,187,838,3
1252,187,839,3
1253,187,840,3
1254,187,842,3
1255,187,1045,3
1256,188,75,3
1257,188,721,2
1258,188,722,2
1259,188,723,2
1260,188,724,4
1261,188,725,2
1262,188,726,4
1263,188,728,2
1264,188,729,2
1265,188,909,3
1266,188,911,2
1267,189,395,2
1268,189,865,3
1269,189,866,2
1270,189,867,4
1271,189,868,3
1272,189,869,2
1273,189,870,3
1274,189,872,3
1275,189,873,3
1276,190,15,1
1277,190,285,2
1278,190,390,3
1279,190,391,1
1280,190,864,3
1281,191,15,3
1282,191,285,2
1283,191,390,4
1284,191,391,3
1285,191,658,3
1286,191,856,3
1287,191,857,2
1288,191,858,2
1289,191,864,3
1290,191,914,1
1291,191,915,1
1292,191,948,3
1293,191,1008,4
1294,192,733,1
1295,192,734,1
1296,192,735,1
1297,192,736,1
1298,193,422,3
1299,193,648,3
1300,193,730,3
1301,193,731,4
1302,193,733,4
1303,193,734,4
1304,193,735,4
1305,193,736,4
1306,193,1392,3
1307,194,739,2
1308,194,740,2
1309,194,741,4
1310,194,742,2
1311,194,743,2
1312,194,744,3
1313,195,739,3
1314,195,742,3
1315,195,743,3
1316,196,12,4
1317,196,13,3
1318,196,51,2
1319,196,185,2
1320,196,202,3
1321,196,746,3
1322,196,874,2
1323,196,875,2
1324,196,876,2
1325,196,878,3
1326,196,879,3
1327,196,880,3
1328,197,881,2
1329,197,883,3
1330,197,884,3
1331,198,843,3
1332,198,887,2
1333,198,888,2
1334,198,889,2
1335,199,743,2
1336,199,744,2
1337,199,1052,1
1338,199,1053,1
1339,199,1054,2
1340,199,1055,2
1341,199,1056,2
1342,199,1060,2
1343,200,1134,2
1344,200,1137,2
1345,200,1138,2
1346,201,93,3
1347,201,110,4
1348,201,160,4
1349,201,318,3
1350,201,369,4
1351,201,401,3
1352,201,423,4
1353,201,482,4
1354,201,541,3
1355,201,552,2
1356,201,625,2
1357,201,1151,3
1358,201,1295,3
1359,201,1296,2
1360,201,1304,4
1361,201,1391,4
1362,202,48,4
1363,202,232,4
1364,202,602,4
1365,202,603,4
1366,202,604,4
1367,202,605,3
1368,202,1110,2
1369,202,1303,2
1370,202,1304,2
1371,202,1305,4
1372,202,1306,3
1373,202,1308,3
1374,202,1309,2
1375,202,1310,4
1376,203,19,3
1377,203,58,3
1378,203,122,3
1379,203,232,4
1380,203,323,4
1381,203,602,4
1382,203,603,4
1383,203,604,4
1384,203,688,4
1385,203,1188,4
1386,203,1305,3
1387,203,1306,3
1388,203,1307,3
1389,203,1310,3
1390,204,63,3
1391,204,68,4
1392,204,307,4
1393,204,540,3
1394,204,572,2
1395,204,602,4
1396,204,603,4
1397,204,604,4
1398,204,655,4
1399,204,1188,4
1400,204,1213,4
1401,204,1305,4
1402,204,1311,2
1403,204,1355,4
1404,205,1321,2
1405,205,1322,2
1406,206,1338,2
1407,206,1340,3
1408,206,1341,2
1409,207,879,4
1410,207,1338,2
1411,207,1339,2
1412,207,1340,3
1413,207,1341,3
1414,208,163,3
1415,208,164,4
1416,208,1344,3
1417,208,1345,3
1418,208,1346,3
1419,208,1347,4
1420,209,45,4
1421,209,55,4
1422,209,187,3
1423,209,316,4
1424,209,487,3
1425,209,1106,4
1426,209,1228,4
1427,209,1350,3
1428,209,1351,2
1429,209,1356,2
1430,209,1383,3
1431,209,1385,3
1432,210,891,3
1433,210,1030,4
1434,210,1171,2
1435,210,1172,3
1436,210,1173,3
1437,210,1174,3
1438,211,763,3
1439,211,769,4
1440,211,891,2
1441,211,1030,4
1442,211,1031,4
1443,211,1033,4
1444,211,1052,4
1445,211,1068,4
1446,211,1172,2
1447,211,1173,3
1448,211,1174,3
1449,212,769,3
1450,212,841,4
1451,212,843,3
1452,212,885,3
1453,212,886,3
1454,212,887,3
1455,212,888,2
1456,212,889,2
1457,212,890,3
1458,212,891,3
1459,212,1173,3
1460,212,1176,4
1461,212,1177,4
1462,212,1178,2
1463,213,769,3
1464,213,843,3
1465,213,885,2
1466,213,886,3
1467,213,887,2
1468,213,888,1
1469,213,889,2
1470,213,890,3
1471,213,1173,3
1472,213,1177,4
1473,213,1178,3
1474,214,833,3
1475,214,1361,3
1476,214,1362,3
1477,214,1363,3
1478,215,35,4
1479,215,37,4
1480,216,156,1
1481,217,37,3
1482,217,559,3
1483,217,630,3
1484,217,666,1
1485,217,667,1
1486,217,668,3
1487,217,670,3
1488,217,1107,3
1489,217,1204,3
1490,217,1213,3
1491,217,1258,2
1492,217,1300,3
1493,217,1391,4
1494,217,1394,2
1495,217,1395,1
1496,218,24,1
1497,218,93,3
1498,218,101,1
1499,218,559,3
1500,218,630,3
1501,218,662,3
1502,218,666,3
1503,218,667,3
1504,218,1104,3
1505,218,1107,3
1506,218,1204,3
1507,218,1213,3
1508,218,1258,4
1509,218,1300,3
1510,218,1393,1
1511,219,559,3
1512,219,630,3
1513,219,662,3
1514,219,666,2
1515,219,667,2
1516,219,1078,3
1517,219,1080,3
1518,219,1081,3
1519,219,1107,3
1520,219,1198,3
1521,219,1204,3
1522,219,1213,3
1523,219,1214,3
1524,219,1258,2
1525,219,1300,3
1526,219,1391,1
1527,219,1394,2
1528,219,1395,2
1529,220,62,3
1530,220,111,4
1531,220,150,3
1532,220,155,3
1533,220,241,3
1534,220,292,3
1535,220,376,3
1536,220,458,4
1537,220,459,3
1538,220,479,4
1539,220,977,4
1540,220,1365,3
1541,220,1366,3
1542,220,1370,4
1543,220,1382,3
1544,220,1383,2
1545,220,1384,3
1546,220,1385,2
1547,220,1386,4
1548,221,62,3
1549,221,111,3
1550,221,150,3
1551,221,155,2
1552,221,241,4
1553,221,292,3
1554,221,458,3
1555,221,459,3
1556,221,461,3
1557,221,479,3
1558,221,1365,3
1559,221,1366,3
1560,221,1370,4
1561,221,1382,3
1562,221,1383,2
1563,221,1384,4
1564,221,1385,2
1565,221,1386,4
1566,222,400,3
1567,222,412,4
1568,222,419,3
1569,222,1387,3
1570,222,1392,4
1571,222,1397,3
1572,222,1398,4
1573,222,1399,4
1574,222,1400,3
1575,223,400,3
1576,223,1387,3
1577,223,1392,3
1578,223,1398,3
1579,224,656,3
1580,224,1157,3
1581,224,1274,3
1582,224,1313,3
1583,224,1316,4
1584,224,1317,3
1585,224,1318,3
1586,224,1319,3
1587,225,40,3
1588,225,161,4
1589,225,225,3
1590,225,293,3
1591,225,421,4
1592,225,433,3
1593,225,448,3
1594,225,449,3
1595,225,923,3
1596,225,924,3
1597,225,1062,3
1598,225,1074,3
1599,225,1075,3
1600,225,1124,3
1601,225,1213,3
1602,225,1280,3
1603,225,1304,2
1604,225,1305,2
1605,225,1309,3
1606,225,1377,4
1607,225,1378,3
1608,225,1379,2
1609,225,1380,4
1610,225,1381,3
